,PERSON_ID,DISPLAY_FIRST_LAST,TEAM_NAME,TEAM_ID,TEAM_ABBREVIATION
0,1630173,Precious Achiuwa,Raptors,1610612761,TOR
1,203500,Steven Adams,Grizzlies,1610612763,MEM
2,1628389,Bam Adebayo,Heat,1610612748,MIA
3,1630583,Santi Aldama,Grizzlies,1610612763,MEM
4,200746,LaMarcus Aldridge,Nets,1610612751,BKN
5,1629638,Nickeil Alexander-Walker,Jazz,1610612762,UTA
6,1628960,Grayson Allen,Bucks,1610612749,MIL
7,1628386,Jarrett Allen,Cavaliers,1610612739,CLE
8,1630631,Jose Alvarado,Pelicans,1610612740,NOP
10,203937,Kyle Anderson,Grizzlies,1610612763,MEM
11,203507,Giannis Antetokounmpo,Bucks,1610612749,MIL
12,203648,Thanasis Antetokounmpo,Bucks,1610612749,MIL
13,2546,Carmelo Anthony,Lakers,1610612747,LAL
14,1630175,Cole Anthony,Magic,1610612753,ORL
15,1628384,OG Anunoby,Raptors,1610612761,TOR
16,1627853,Ryan Arcidiacono,Knicks,1610612752,NYK
18,201571,D.J. Augustin,Lakers,1610612747,LAL
19,1630166,Deni Avdija,Wizards,1610612764,WAS
21,1629028,Deandre Ayton,Suns,1610612756,PHX
22,1628962,Udoka Azubuike,Jazz,1610612762,UTA
23,1628963,Marvin Bagley III,Pistons,1610612765,DET
24,1630163,LaMelo Ball,Hornets,1610612766,CHA
25,1628366,Lonzo Ball,Bulls,1610612741,CHI
26,1628964,Mo Bamba,Magic,1610612753,ORL
27,1630217,Desmond Bane,Grizzlies,1610612763,MEM
28,1630625,Dalano Banton,Raptors,1610612761,TOR
30,203084,Harrison Barnes,Kings,1610612758,SAC
31,1630567,Scottie Barnes,Raptors,1610612761,TOR
32,1629628,RJ Barrett,Knicks,1610612752,NYK
33,203115,Will Barton,Nuggets,1610612743,DEN
35,1629646,Charles Bassey,76ers,1610612755,PHI
36,1628966,Keita Bates-Diop,Spurs,1610612759,SAS
37,201587,Nicolas Batum,Clippers,1610612746,LAC
38,203145,Kent Bazemore,Lakers,1610612747,LAL
39,1629647,Darius Bazley,Thunder,1610612760,OKC
40,203078,Bradley Beal,Wizards,1610612764,WAS
41,1627736,Malik Beasley,Timberwolves,1610612750,MIN
44,202722,Davis Bertans,Mavericks,1610612742,DAL
45,201976,Patrick Beverley,Timberwolves,1610612750,MIN
46,1630180,Saddiq Bey,Pistons,1610612765,DET
47,203920,Khem Birch,Raptors,1610612761,TOR
48,1629048,Goga Bitadze,Pacers,1610612754,IND
49,202687,Bismack Biyombo,Suns,1610612756,PHX
50,202357,Nemanja Bjelica,Warriors,1610612744,GSW
51,202339,Eric Bledsoe,Trail Blazers,1610612757,POR
52,1629833,Keljin Blevins,Trail Blazers,1610612757,POR
53,203992,Bogdan Bogdanovic,Hawks,1610612737,ATL
54,202711,Bojan Bogdanovic,Jazz,1610612762,UTA
55,1629626,Bol Bol,Magic,1610612753,ORL
56,1630195,Leandro Bolmaro,Timberwolves,1610612750,MIN
57,1629067,Isaac Bonga,Raptors,1610612761,TOR
58,1626164,Devin Booker,Suns,1610612756,PHX
59,1630527,Brandon Boston Jr.,Clippers,1610612746,LAC
60,1628449,Chris Boucher,Raptors,1610612761,TOR
61,1630547,James Bouknight,Hornets,1610612766,CHA
62,202340,Avery Bradley,Lakers,1610612747,LAL
63,1628396,Tony Bradley,Bulls,1610612741,CHI
64,1629649,Ignas Brazdeikis,Magic,1610612753,ORL
65,1628969,Mikal Bridges,Suns,1610612756,PHX
66,1628970,Miles Bridges,Hornets,1610612766,CHA
67,1629052,Oshae Brissett,Pacers,1610612754,IND
68,1627763,Malcolm Brogdon,Pacers,1610612754,IND
69,1629717,Armoni Brooks,Raptors,1610612761,TOR
70,1628415,Dillon Brooks,Grizzlies,1610612763,MEM
71,1628971,Bruce Brown,Nets,1610612751,BKN
72,1627759,Jaylen Brown,Celtics,1610612738,BOS
73,1629650,Moses Brown,Cavaliers,1610612739,CLE
74,1628425,Sterling Brown,Mavericks,1610612742,DAL
75,1630535,Greg Brown III,Trail Blazers,1610612757,POR
76,1629718,Charlie Brown Jr.,76ers,1610612755,PHI
77,1630602,Chaundee Brown Jr.,Hawks,1610612737,ATL
78,1628972,Troy Brown Jr.,Bulls,1610612741,CHI
79,1628973,Jalen Brunson,Mavericks,1610612742,DAL
80,1628418,Thomas Bryant,Wizards,1610612764,WAS
82,203493,Reggie Bullock,Mavericks,1610612742,DAL
83,203504,Trey Burke,Mavericks,1610612742,DAL
84,202692,Alec Burks,Knicks,1610612752,NYK
85,1630215,Jared Butler,Jazz,1610612762,UTA
86,202710,Jimmy Butler,Heat,1610612748,MIA
87,1629719,Devontae Cacok,Spurs,1610612759,SAS
88,203484,Kentavious Caldwell-Pope,Wizards,1610612764,WAS
89,1630267,Facundo Campazzo,Nuggets,1610612743,DEN
90,1628427,Vlatko Cancar,Nuggets,1610612743,DEN
91,1629962,Devin Cannady,Magic,1610612753,ORL
92,203991,Clint Capela,Hawks,1610612737,ATL
93,1630176,Vernon Carey Jr.,Wizards,1610612764,WAS
94,1628975,Jevon Carter,Bucks,1610612749,MIL
95,1628976,Wendell Carter Jr.,Magic,1610612753,ORL
96,1627936,Alex Caruso,Bulls,1610612741,CHI
99,1630551,Justin Champagnie,Raptors,1610612761,TOR
101,1629185,Chris Chiozza,Warriors,1610612744,GSW
102,1627737,Marquese Chriss,Mavericks,1610612742,DAL
103,1630528,Josh Christopher,Rockets,1610612745,HOU
104,1629109,Gary Clark,Pelicans,1610612740,NOP
105,1629634,Brandon Clarke,Grizzlies,1610612763,MEM
106,203903,Jordan Clarkson,Jazz,1610612762,UTA
107,1629651,Nic Claxton,Nets,1610612751,BKN
108,1629599,Amir Coffey,Clippers,1610612746,LAC
109,1628381,John Collins,Hawks,1610612737,ATL
110,1628380,Zach Collins,Spurs,1610612759,SAS
112,201144,Mike Conley,Jazz,1610612762,UTA
113,1626192,Pat Connaughton,Bucks,1610612749,MIL
114,1629076,Tyler Cook,Bulls,1610612741,CHI
115,1630536,Sharife Cooper,Hawks,1610612737,ATL
117,202326,DeMarcus Cousins,Nuggets,1610612743,DEN
118,203496,Robert Covington,Clippers,1610612746,LAC
119,1628470,Torrey Craig,Suns,1610612756,PHX
120,203109,Jae Crowder,Suns,1610612756,PHX
121,1629633,Jarrett Culver,Grizzlies,1610612763,MEM
123,1630595,Cade Cunningham,Pistons,1610612765,DET
124,203552,Seth Curry,Nets,1610612751,BKN
125,201939,Stephen Curry,Warriors,1610612744,GSW
126,203076,Anthony Davis,Lakers,1610612747,LAL
127,202334,Ed Davis,Cavaliers,1610612739,CLE
128,1629056,Terence Davis,Kings,1610612758,SAC
130,201942,DeMar DeRozan,Bulls,1610612741,CHI
132,203473,Dewayne Dedmon,Heat,1610612748,MIA
134,1628978,Donte DiVincenzo,Kings,1610612758,SAC
137,1628977,Hamidou Diallo,Pistons,1610612765,DET
138,203476,Gorgui Dieng,Hawks,1610612737,ATL
139,203915,Spencer Dinwiddie,Mavericks,1610612742,DAL
140,1629029,Luka Doncic,Mavericks,1610612742,DAL
141,1629652,Luguentz Dort,Thunder,1610612760,OKC
142,1630245,Ayo Dosunmu,Bulls,1610612741,CHI
148,201609,Goran Dragic,Nets,1610612751,BKN
149,203083,Andre Drummond,Nets,1610612751,BKN
150,1630537,Chris Duarte,Pacers,1610612754,IND
151,1630561,David Duke Jr.,Nets,1610612751,BKN
153,201142,Kevin Durant,Nets,1610612751,BKN
155,1630162,Anthony Edwards,Timberwolves,1610612750,MIN
156,1629035,Carsen Edwards,Pistons,1610612765,DET
157,1630556,Kessler Edwards,Nets,1610612751,BKN
159,1629604,CJ Elleby,Trail Blazers,1610612757,POR
160,201961,Wayne Ellington,Lakers,1610612747,LAL
161,203954,Joel Embiid,76ers,1610612755,PHI
165,202324,Derrick Favors,Thunder,1610612760,OKC
166,1628981,Bruno Fernando,Rockets,1610612745,HOU
167,1627827,Dorian Finney-Smith,Mavericks,1610612742,DAL
168,1630238,Malik Fitts,Celtics,1610612738,BOS
169,1630201,Malachi Flynn,Raptors,1610612761,TOR
170,1627854,Bryn Forbes,Nuggets,1610612743,DEN
172,1630235,Trent Forrest,Jazz,1610612762,UTA
173,203095,Evan Fournier,Knicks,1610612752,NYK
174,1628368,De'Aaron Fox,Kings,1610612758,SAC
176,1628982,Melvin Frazier Jr.,Thunder,1610612760,OKC
178,1628365,Markelle Fultz,Magic,1610612753,ORL
179,1629117,Wenyen Gabriel,Lakers,1610612747,LAL
180,1629655,Daniel Gafford,Wizards,1610612764,WAS
181,201568,Danilo Gallinari,Hawks,1610612737,ATL
183,1629636,Darius Garland,Cavaliers,1610612739,CLE
185,1630586,Usman Garuba,Rockets,1610612745,HOU
186,1630568,Luka Garza,Pistons,1610612765,DET
187,200752,Rudy Gay,Jazz,1610612762,UTA
188,202331,Paul George,Clippers,1610612746,LAC
189,201959,Taj Gibson,Knicks,1610612752,NYK
190,1630581,Josh Giddey,Thunder,1610612760,OKC
191,1628983,Shai Gilgeous-Alexander,Thunder,1610612760,OKC
192,1630264,Anthony Gill,Wizards,1610612764,WAS
194,203497,Rudy Gobert,Jazz,1610612762,UTA
195,1629164,Brandon Goodwin,Cavaliers,1610612739,CLE
197,203932,Aaron Gordon,Nuggets,1610612743,DEN
198,201569,Eric Gordon,Rockets,1610612745,HOU
199,1628984,Devonte' Graham,Pelicans,1610612740,NOP
200,203924,Jerami Grant,Pistons,1610612765,DET
202,201980,Danny Green,76ers,1610612755,PHI
203,203110,Draymond Green,Warriors,1610612744,GSW
204,203210,JaMychal Green,Nuggets,1610612743,DEN
205,1630224,Jalen Green,Rockets,1610612745,HOU
206,1629750,Javonte Green,Bulls,1610612741,CHI
207,201145,Jeff Green,Nuggets,1610612743,DEN
208,1630182,Josh Green,Mavericks,1610612742,DAL
209,201933,Blake Griffin,Nets,1610612751,BKN
210,1629656,Quentin Grimes,Knicks,1610612752,NYK
212,1629060,Rui Hachimura,Wizards,1610612764,WAS
213,1630169,Tyrese Haliburton,Pacers,1610612754,IND
215,1630181,R.J. Hampton,Magic,1610612753,ORL
216,203501,Tim Hardaway Jr.,Mavericks,1610612742,DAL
217,201935,James Harden,76ers,1610612755,PHI
218,203090,Maurice Harkless,Kings,1610612758,SAC
219,1629607,Jared Harper,Pelicans,1610612740,NOP
220,1626149,Montrezl Harrell,Hornets,1610612766,CHA
221,203914,Gary Harris,Magic,1610612753,ORL
222,203925,Joe Harris,Nets,1610612751,BKN
223,202699,Tobias Harris,76ers,1610612755,PHI
225,1628404,Josh Hart,Trail Blazers,1610612757,POR
