,PERSON_ID,FIRST_NAME,LAST_NAME,DISPLAY_FIRST_LAST,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FI_LAST,PLAYER_SLUG,BIRTHDATE,SCHOOL,COUNTRY,LAST_AFFILIATION,HEIGHT,WEIGHT,SEASON_EXP,JERSEY,POSITION,ROSTERSTATUS,GAMES_PLAYED_CURRENT_SEASON_FLAG,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,TEAM_CITY,PLAYERCODE,FROM_YEAR,TO_YEAR,DLEAGUE_FLAG,NBA_FLAG,GAMES_PLAYED_FLAG,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GREATEST_75_FLAG
0,1630173,Precious,Achiuwa,Precious Achiuwa,"Achiuwa, Precious",P. Achiuwa,precious-achiuwa,1999-09-19T00:00:00,Memphis,Nigeria,Memphis/Nigeria,6-8,225,1,5,Forward,Active,Y,1610612761,Raptors,TOR,raptors,Toronto,precious_achiuwa,2020,2021,N,Y,Y,2020,1,20,N
1,203500,Steven,Adams,Steven Adams,"Adams, Steven",S. Adams,steven-adams,1993-07-20T00:00:00,Pittsburgh,New Zealand,Pittsburgh/New Zealand,6-11,265,8,4,Center,Active,Y,1610612763,Grizzlies,MEM,grizzlies,Memphis,steven_adams,2013,2021,N,Y,Y,2013,1,12,N
2,1628389,Bam,Adebayo,Bam Adebayo,"Adebayo, Bam",B. Adebayo,bam-adebayo,1997-07-18T00:00:00,Kentucky,USA,Kentucky/USA,6-9,255,4,13,Center-Forward,Active,Y,1610612748,Heat,MIA,heat,Miami,bam_adebayo,2017,2021,N,Y,Y,2017,1,14,N
3,1630583,Santi,Aldama,Santi Aldama,"Aldama, Santi",S. Aldama,santi-aldama,2001-01-10T00:00:00,Loyola-Maryland,Spain,Loyola-Maryland/Spain,6-11,215,0,7,Forward-Center,Active,Y,1610612763,Grizzlies,MEM,grizzlies,Memphis,santi_aldama,2021,2021,Y,Y,Y,2021,1,30,N
4,200746,LaMarcus,Aldridge,LaMarcus Aldridge,"Aldridge, LaMarcus",L. Aldridge,lamarcus-aldridge,1985-07-19T00:00:00,Texas-Austin,USA,Texas-Austin/USA,6-11,250,15,21,Center-Forward,Active,Y,1610612751,Nets,BKN,nets,Brooklyn,lamarcus_aldridge,2006,2021,N,Y,Y,2006,1,2,N
5,1629638,Nickeil,Alexander-Walker,Nickeil Alexander-Walker,"Alexander-Walker, Nickeil",N. Alexander-Walker,nickeil-alexander-walker,1998-09-02T00:00:00,Virginia Tech,Canada,Virginia Tech/Canada,6-5,205,2,6,Guard,Active,Y,1610612762,Jazz,UTA,jazz,Utah,nickeil_alexander-walker,2019,2021,Y,Y,Y,2019,1,17,N
6,1628960,Grayson,Allen,Grayson Allen,"Allen, Grayson",G. Allen,grayson-allen,1995-10-08T00:00:00,Duke,USA,Duke/USA,6-4,198,3,7,Guard,Active,Y,1610612749,Bucks,MIL,bucks,Milwaukee,grayson_allen,2018,2021,Y,Y,Y,2018,1,21,N
7,1628386,Jarrett,Allen,Jarrett Allen,"Allen, Jarrett",J. Allen,jarrett-allen,1998-04-21T00:00:00,Texas-Austin,USA,Texas-Austin/USA,6-10,243,4,31,Center,Active,Y,1610612739,Cavaliers,CLE,cavaliers,Cleveland,jarrett_allen,2017,2021,N,Y,Y,2017,1,22,N
8,1630631,Jose,Alvarado,Jose Alvarado,"Alvarado, Jose",J. Alvarado,jose-alvarado,1998-04-12T00:00:00,Georgia Tech,USA,Georgia Tech/USA,6-0,179,0,15,Guard,Active,Y,1610612740,Pelicans,NOP,pelicans,New Orleans,jose_alvarado,2021,2021,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
9,203937,Kyle,Anderson,Kyle Anderson,"Anderson, Kyle",K. Anderson,kyle-anderson,1993-09-20T00:00:00,UCLA,USA,UCLA/USA,6-9,230,7,1,Forward-Guard,Active,Y,1610612763,Grizzlies,MEM,grizzlies,Memphis,kyle_anderson,2014,2021,Y,Y,Y,2014,1,30,N
10,203507,Giannis,Antetokounmpo,Giannis Antetokounmpo,"Antetokounmpo, Giannis",G. Antetokounmpo,giannis-antetokounmpo,1994-12-06T00:00:00,Filathlitikos,Greece,Filathlitikos/Greece,6-11,242,8,34,Forward,Active,Y,1610612749,Bucks,MIL,bucks,Milwaukee,giannis_antetokounmpo,2013,2021,N,Y,Y,2013,1,15,Y
11,203648,Thanasis,Antetokounmpo,Thanasis Antetokounmpo,"Antetokounmpo, Thanasis",T. Antetokounmpo,thanasis-antetokounmpo,1992-07-18T00:00:00,Panathinaikos,Greece,Panathinaikos/Greece,6-6,219,3,43,Forward,Active,Y,1610612749,Bucks,MIL,bucks,Milwaukee,thanasis_antetokounmpo,2015,2021,Y,Y,Y,2014,2,51,N
12,2546,Carmelo,Anthony,Carmelo Anthony,"Anthony, Carmelo",C. Anthony,carmelo-anthony,1984-05-29T00:00:00,Syracuse,USA,Syracuse/USA,6-7,238,18,7,Forward,Active,Y,1610612747,Lakers,LAL,lakers,Los Angeles,carmelo_anthony,2003,2021,N,Y,Y,2003,1,3,Y
13,1630175,Cole,Anthony,Cole Anthony,"Anthony, Cole",C. Anthony,cole-anthony,2000-05-15T00:00:00,North Carolina,USA,North Carolina/USA,6-3,185,1,50,Guard,Active,Y,1610612753,Magic,ORL,magic,Orlando,cole_anthony,2020,2021,N,Y,Y,2020,1,15,N
14,1628384,OG,Anunoby,OG Anunoby,"Anunoby, OG",O. Anunoby,og-anunoby,1997-07-17T00:00:00,Indiana,United Kingdom,Indiana/United Kingdom,6-7,232,4,3,Forward,Active,Y,1610612761,Raptors,TOR,raptors,Toronto,og_anunoby,2017,2021,N,Y,Y,2017,1,23,N
15,1627853,Ryan,Arcidiacono,Ryan Arcidiacono,"Arcidiacono, Ryan",R. Arcidiacono,ryan-arcidiacono,1994-03-26T00:00:00,Villanova,USA,Villanova/USA,6-3,195,4,51,Guard,Active,Y,1610612741,Bulls,CHI,bulls,Chicago,ryan_arcidiacono,2017,2021,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
16,201571,D.J.,Augustin,D.J. Augustin,"Augustin, D.J.",D. Augustin,dj-augustin,1987-11-10T00:00:00,Texas-Austin,USA,Texas-Austin/USA,5-11,183,13,4,Guard,Active,Y,1610612747,Lakers,LAL,lakers,Los Angeles,d.j._augustin,2008,2021,N,Y,Y,2008,1,9,N
17,1630166,Deni,Avdija,Deni Avdija,"Avdija, Deni",D. Avdija,deni-avdija,2001-01-03T00:00:00,Maccabi Tel Aviv,Israel,Maccabi Tel Aviv/Israel,6-9,210,1,9,Forward,Active,Y,1610612764,Wizards,WAS,wizards,Washington,deni_avdija,2020,2021,N,Y,Y,2020,1,9,N
18,1629028,Deandre,Ayton,Deandre Ayton,"Ayton, Deandre",D. Ayton,deandre-ayton,1998-07-23T00:00:00,Arizona,Bahamas,Arizona/Bahamas,6-11,250,3,22,Center,Active,Y,1610612756,Suns,PHX,suns,Phoenix,deandre_ayton,2018,2021,N,Y,Y,2018,1,1,N
19,1628962,Udoka,Azubuike,Udoka Azubuike,"Azubuike, Udoka",U. Azubuike,udoka-azubuike,1999-09-17T00:00:00,Kansas,Nigeria,Kansas/Nigeria,7-0,270,1,20,Center-Forward,Active,Y,1610612762,Jazz,UTA,jazz,Utah,udoka_azubuike,2020,2021,Y,Y,Y,2020,1,27,N
20,1628963,Marvin,Bagley III,Marvin Bagley III,"Bagley III, Marvin",M. Bagley III,marvin-bagley-iii,1999-03-14T00:00:00,Duke,USA,Duke/USA,6-11,235,3,35,Forward,Active,Y,1610612765,Pistons,DET,pistons,Detroit,marvin_bagley_iii,2018,2021,N,Y,Y,2018,1,2,N
21,1630163,LaMelo,Ball,LaMelo Ball,"Ball, LaMelo",L. Ball,lamelo-ball,2001-08-22T00:00:00,Illawarra,USA,Illawarra/USA,6-7,180,1,2,Guard,Active,Y,1610612766,Hornets,CHA,hornets,Charlotte,lamelo_ball,2020,2021,N,Y,Y,2020,1,3,N
22,1628366,Lonzo,Ball,Lonzo Ball,"Ball, Lonzo",L. Ball,lonzo-ball,1997-10-27T00:00:00,UCLA,USA,UCLA/USA,6-6,190,4,2,Guard,Active,Y,1610612741,Bulls,CHI,bulls,Chicago,lonzo_ball,2017,2021,N,Y,Y,2017,1,2,N
23,1628964,Mo,Bamba,Mo Bamba,"Bamba, Mo",M. Bamba,mo-bamba,1998-05-12T00:00:00,Texas-Austin,USA,Texas-Austin/USA,7-0,231,3,5,Center,Active,Y,1610612753,Magic,ORL,magic,Orlando,mohamed_bamba,2018,2021,N,Y,Y,2018,1,6,N
24,1630217,Desmond,Bane,Desmond Bane,"Bane, Desmond",D. Bane,desmond-bane,1998-06-25T00:00:00,TCU,USA,TCU/USA,6-5,215,1,22,Guard,Active,Y,1610612763,Grizzlies,MEM,grizzlies,Memphis,desmond_bane,2020,2021,N,Y,Y,2020,1,30,N
25,1630625,Dalano,Banton,Dalano Banton,"Banton, Dalano",D. Banton,dalano-banton,1999-11-07T00:00:00,Nebraska,Canada,Nebraska/Canada,6-7,204,0,45,Forward,Active,Y,1610612761,Raptors,TOR,raptors,Toronto,dalano_banton,2021,2021,Y,Y,Y,2021,2,46,N
26,203084,Harrison,Barnes,Harrison Barnes,"Barnes, Harrison",H. Barnes,harrison-barnes,1992-05-30T00:00:00,North Carolina,USA,North Carolina/USA,6-8,225,9,40,Forward,Active,Y,1610612758,Kings,SAC,kings,Sacramento,harrison_barnes,2012,2021,N,Y,Y,2012,1,7,N
27,1630567,Scottie,Barnes,Scottie Barnes,"Barnes, Scottie",S. Barnes,scottie-barnes,2001-08-01T00:00:00,Florida State,USA,Florida State/USA,6-7,225,0,4,Forward,Active,Y,1610612761,Raptors,TOR,raptors,Toronto,scottie_barnes,2021,2021,N,Y,Y,2021,1,4,N
28,1629628,RJ,Barrett,RJ Barrett,"Barrett, RJ",R. Barrett,rj-barrett,2000-06-14T00:00:00,Duke,Canada,Duke/Canada,6-6,214,2,9,Forward-Guard,Active,Y,1610612752,Knicks,NYK,knicks,New York,rj_barrett,2019,2021,N,Y,Y,2019,1,3,N
29,203115,Will,Barton,Will Barton,"Barton, Will",W. Barton,will-barton,1991-01-06T00:00:00,Memphis,USA,Memphis/USA,6-5,181,9,5,Guard,Active,Y,1610612743,Nuggets,DEN,nuggets,Denver,will_barton,2012,2021,Y,Y,Y,2012,2,40,N
30,1629646,Charles,Bassey,Charles Bassey,"Bassey, Charles",C. Bassey,charles-bassey,2000-10-28T00:00:00,Western Kentucky,Nigeria,Western Kentucky/Nigeria,6-9,230,0,23,Center-Forward,Active,Y,1610612755,76ers,PHI,sixers,Philadelphia,charles_bassey,2021,2021,Y,Y,Y,2021,2,53,N
31,1628966,Keita,Bates-Diop,Keita Bates-Diop,"Bates-Diop, Keita",K. Bates-Diop,keita-bates-diop,1996-01-23T00:00:00,Ohio State,USA,Ohio State/USA,6-8,229,3,31,Forward,Active,Y,1610612759,Spurs,SAS,spurs,San Antonio,keita_bates-diop,2018,2021,Y,Y,Y,2018,2,48,N
32,201587,Nicolas,Batum,Nicolas Batum,"Batum, Nicolas",N. Batum,nicolas-batum,1988-12-14T00:00:00,Le Mans,France,Le Mans/France,6-8,230,13,33,Guard-Forward,Active,Y,1610612746,Clippers,LAC,clippers,LA,nicolas_batum,2008,2021,N,Y,Y,2008,1,25,N
33,203145,Kent,Bazemore,Kent Bazemore,"Bazemore, Kent",K. Bazemore,kent-bazemore,1989-07-01T00:00:00,Old Dominion,USA,Old Dominion/USA,6-4,195,9,9,Guard-Forward,Active,Y,1610612747,Lakers,LAL,lakers,Los Angeles,kent_bazemore,2012,2021,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
34,1629647,Darius,Bazley,Darius Bazley,"Bazley, Darius",D. Bazley,darius-bazley,2000-06-12T00:00:00,Princeton HS (OH),USA,Princeton HS (OH)/USA,6-8,208,2,7,Forward,Active,Y,1610612760,Thunder,OKC,thunder,Oklahoma City,darius_bazley,2019,2021,N,Y,Y,2019,1,23,N
35,203078,Bradley,Beal,Bradley Beal,"Beal, Bradley",B. Beal,bradley-beal,1993-06-28T00:00:00,Florida,USA,Florida/USA,6-4,207,9,3,Guard,Active,Y,1610612764,Wizards,WAS,wizards,Washington,bradley_beal,2012,2021,N,Y,Y,2012,1,3,N
36,1627736,Malik,Beasley,Malik Beasley,"Beasley, Malik",M. Beasley,malik-beasley,1996-11-26T00:00:00,Florida State,USA,Florida State/USA,6-4,187,5,5,Guard,Active,Y,1610612750,Timberwolves,MIN,timberwolves,Minnesota,malik_beasley,2016,2021,Y,Y,Y,2016,1,19,N
37,202722,Davis,Bertans,Davis Bertans,"Bertans, Davis",D. Bertans,davis-bertans,1992-11-12T00:00:00,Baskonia,Latvia,Baskonia/Latvia,6-10,225,5,44,Forward,Active,Y,1610612742,Mavericks,DAL,mavericks,Dallas,davis_bertans,2016,2021,Y,Y,Y,2011,2,42,N
38,201976,Patrick,Beverley,Patrick Beverley,"Beverley, Patrick",P. Beverley,patrick-beverley,1988-07-12T00:00:00,Arkansas,USA,Arkansas/USA,6-1,180,9,22,Guard,Active,Y,1610612750,Timberwolves,MIN,timberwolves,Minnesota,patrick_beverley,2012,2021,Y,Y,Y,2009,2,42,N
39,1630180,Saddiq,Bey,Saddiq Bey,"Bey, Saddiq",S. Bey,saddiq-bey,1999-04-09T00:00:00,Villanova,USA,Villanova/USA,6-7,215,1,41,Forward,Active,Y,1610612765,Pistons,DET,pistons,Detroit,saddiq_bey,2020,2021,N,Y,Y,2020,1,19,N
40,203920,Khem,Birch,Khem Birch,"Birch, Khem",K. Birch,khem-birch,1992-09-28T00:00:00,UNLV,Canada,UNLV/Canada,6-9,233,4,24,Center,Active,Y,1610612761,Raptors,TOR,raptors,Toronto,khem_birch,2017,2021,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
41,1629048,Goga,Bitadze,Goga Bitadze,"Bitadze, Goga",G. Bitadze,goga-bitadze,1999-07-20T00:00:00,Mega Basket,Georgia,Mega Basket/Georgia,7-0,250,2,88,Center-Forward,Active,Y,1610612754,Pacers,IND,pacers,Indiana,goga_bitadze,2019,2021,Y,Y,Y,2019,1,18,N
42,202687,Bismack,Biyombo,Bismack Biyombo,"Biyombo, Bismack",B. Biyombo,bismack-biyombo,1992-08-28T00:00:00,Baloncesto Fuenlabrada,DRC,Baloncesto Fuenlabrada/DRC,6-8,255,10,18,Center,Active,Y,1610612756,Suns,PHX,suns,Phoenix,bismack_biyombo,2011,2021,N,Y,Y,2011,1,7,N
43,202357,Nemanja,Bjelica,Nemanja Bjelica,"Bjelica, Nemanja",N. Bjelica,nemanja-bjelica,1988-05-09T00:00:00,Fenerbahce,Serbia,Fenerbahce/Serbia,6-9,234,6,8,Forward,Active,Y,1610612744,Warriors,GSW,warriors,Golden State,nemanja_bjelica,2015,2021,N,Y,Y,2010,2,35,N
44,202339,Eric,Bledsoe,Eric Bledsoe,"Bledsoe, Eric",E. Bledsoe,eric-bledsoe,1989-12-09T00:00:00,Kentucky,USA,Kentucky/USA,6-1,214,11,5,Guard,Active,Y,1610612757,Trail Blazers,POR,blazers,Portland,eric_bledsoe,2010,2021,Y,Y,Y,2010,1,18,N
45,1629833,Keljin,Blevins,Keljin Blevins,"Blevins, Keljin",K. Blevins,keljin-blevins,1995-11-24T00:00:00,Montana State,USA,Montana State/USA,6-4,200,1,21,Guard,Active,Y,1610612757,Trail Blazers,POR,blazers,Portland,keljin_blevins,2020,2021,Y,Y,Y,2019,,,N
