PERSON_ID,DISPLAY_FIRST_LAST,TEAM_NAME,POSITION,HEIGHT,WEIGHT,COUNTRY,BIRTHDATE,AGE,SEASON_EXP,DRAFT_NUMBER,GP,MIN,PTS,REB,AST,STL,BLK,GAME_DATE,SALARY
1630173,Precious Achiuwa,Raptors,Forward,203.2,102.06,Nigeria,1999-09-19,"22 years, 7 months, 0 days",1,20,134,18.4,7.2,5.1,0.8,0.4,0.5,2022-04-18 07:30:00,2711280
203500,Steven Adams,Grizzlies,Center,210.82,120.204,New Zealand,1993-07-20,"28 years, 8 months, 30 days",8,12,664,17811.0,6157.0,5303.0,982.0,588.0,629.0,2022-04-19 08:30:00,17073171
1628389,Bam Adebayo,Heat,Center,205.74,115.668,USA,1997-07-18,"24 years, 9 months, 1 days",4,14,343,9666.0,4617.0,2850.0,1189.0,340.0,309.0,2022-04-19 07:30:00,28103550
1630583,Santi Aldama,Grizzlies,Forward,210.82,97.524,Spain,2001-01-10,"21 years, 3 months, 9 days",0,30,32,360.0,132.0,87.0,21.0,6.0,10.0,2022-04-19 08:30:00,1994520
200746,LaMarcus Aldridge,Nets,Center,210.82,113.4,USA,1985-07-19,"36 years, 9 months, 0 days",15,2,1076,36242.0,20558.0,8736.0,2076.0,758.0,1187.0,2022-04-20 07:00:00,2641691
1629638,Nickeil Alexander-Walker,Jazz,Guard,195.58,92.988,Canada,1998-09-02,"23 years, 7 months, 17 days",2,17,158,3064.0,1467.0,415.0,347.0,110.0,53.0,2022-04-18 08:30:00,3261480
1628960,Grayson Allen,Bucks,Guard,193.04,89.813,USA,1995-10-08,"26 years, 6 months, 11 days",3,21,192,4199.0,1806.0,490.0,285.0,108.0,34.0,2022-04-20 09:30:00,4054695
1628386,Jarrett Allen,Cavaliers,Center,208.28,110.225,USA,1998-04-21,"23 years, 11 months, 29 days",4,22,341,9062.0,3945.0,2964.0,467.0,187.0,465.0,Empty,20000000
1630631,Jose Alvarado,Pelicans,Guard,182.88,81.194,USA,1998-04-12,"24 years, 0 months, 7 days",0,Undrafted,54,834.0,330.0,100.0,152.0,71.0,7.0,2022-04-19 10:00:00,1500000
203937,Kyle Anderson,Grizzlies,Forward,205.74,104.328,USA,1993-09-20,"28 years, 6 months, 30 days",7,30,505,10584.0,3366.0,2220.0,1167.0,510.0,298.0,2022-04-19 08:30:00,9937150
203507,Giannis Antetokounmpo,Bucks,Forward,210.82,109.771,Greece,1994-12-06,"27 years, 4 months, 13 days",8,15,656,21354.0,14321.0,6149.0,3020.0,764.0,856.0,2022-04-20 09:30:00,39344970
203648,Thanasis Antetokounmpo,Bucks,Forward,198.12,99.338,Greece,1992-07-18,"29 years, 9 months, 1 days",3,51,127,1159.0,398.0,250.0,83.0,45.0,24.0,2022-04-20 09:30:00,1729217
2546,Carmelo Anthony,Lakers,Forward,200.66,107.957,USA,1984-05-29,"37 years, 10 months, 21 days",18,3,1260,43514.0,28289.0,7808.0,3422.0,1223.0,644.0,Empty,2641691
1630175,Cole Anthony,Magic,Guard,190.5,83.916,USA,2000-05-15,"21 years, 11 months, 4 days",1,15,112,3332.0,1667.0,569.0,561.0,76.0,35.0,Empty,3449400
1628384,OG Anunoby,Raptors,Forward,200.66,105.235,United Kingdom,1997-07-17,"24 years, 9 months, 2 days",4,23,301,8061.0,3144.0,1246.0,429.0,331.0,138.0,2022-04-18 07:30:00,16071429
1627853,Ryan Arcidiacono,Knicks,Guard,190.5,88.452,USA,1994-03-26,"28 years, 0 months, 24 days",4,Undrafted,217,3722.0,1005.0,429.0,460.0,115.0,7.0,Empty,586136
201571,D.J. Augustin,Lakers,Guard,180.34,83.009,USA,1987-11-10,"34 years, 5 months, 9 days",13,9,976,22852.0,9259.0,1805.0,3761.0,567.0,32.0,Empty,7622467
1630166,Deni Avdija,Wizards,Forward,205.74,95.256,Israel,2001-01-03,"21 years, 3 months, 16 days",1,9,136,3241.0,1027.0,687.0,230.0,91.0,59.0,Empty,4692840
1629028,Deandre Ayton,Suns,Center,210.82,113.4,Bahamas,1998-07-23,"23 years, 8 months, 27 days",3,1,236,7246.0,3843.0,2485.0,380.0,168.0,246.0,2022-04-19 10:00:00,12632950
1628962,Udoka Azubuike,Jazz,Center,213.36,122.472,Nigeria,1999-09-17,"22 years, 7 months, 2 days",1,27,32,252.0,96.0,84.0,0.0,2.0,15.0,2022-04-18 08:30:00,2075880
1628963,Marvin Bagley III,Pistons,Forward,210.82,106.596,USA,1999-03-14,"23 years, 1 months, 5 days",3,2,166,4159.0,2256.0,1224.0,151.0,82.0,110.0,Empty,11312114
1630163,LaMelo Ball,Hornets,Guard,200.66,81.648,USA,2001-08-22,"20 years, 7 months, 28 days",1,3,126,3891.0,2311.0,803.0,884.0,200.0,48.0,Empty,8231760
1628366,Lonzo Ball,Bulls,Guard,198.12,86.184,USA,1997-10-27,"24 years, 5 months, 23 days",4,2,252,8187.0,2995.0,1447.0,1563.0,391.0,162.0,2022-04-20 09:30:00,18604651
1628964,Mo Bamba,Magic,Center,213.36,104.782,USA,1998-05-12,"23 years, 11 months, 7 days",3,6,226,4193.0,1747.0,1372.0,201.0,88.0,326.0,Empty,7568742
1630217,Desmond Bane,Grizzlies,Guard,195.58,97.524,USA,1998-06-25,"23 years, 9 months, 25 days",1,30,144,3785.0,2009.0,544.0,326.0,133.0,45.0,2022-04-19 08:30:00,2033160
