,PERSON_ID,DISPLAY_FIRST_LAST,TEAM_NAME,TEAM_ABBREVIATION,Salary
0,1630173,Precious Achiuwa,Raptors,TOR,2711280
1,203500,Steven Adams,Grizzlies,MEM,17073171
2,1628389,Bam Adebayo,Heat,MIA,28103550
3,1630583,Santi Aldama,Grizzlies,MEM,1994520
4,200746,LaMarcus Aldridge,Nets,BKN,2641691
5,1629638,Nickeil Alexander-Walker,Jazz,UTA,3261480
6,1628960,Grayson Allen,Bucks,MIL,4054695
7,1628386,Jarrett Allen,Cavaliers,CLE,20000000
8,1630631,Jose Alvarado,Pelicans,NOP,1500000
9,203937,Kyle Anderson,Grizzlies,MEM,9937150
10,203507,Giannis Antetokounmpo,Bucks,MIL,39344970
11,203648,Thanasis Antetokounmpo,Bucks,MIL,1729217
12,2546,Carmelo Anthony,Lakers,LAL,2641691
13,1630175,Cole Anthony,Magic,ORL,3449400
14,1628384,OG Anunoby,Raptors,TOR,16071429
15,1627853,Ryan Arcidiacono,Knicks,NYK,586136
16,201571,D.J. Augustin,Lakers,LAL,7622467
17,1630166,Deni Avdija,Wizards,WAS,4692840
18,1629028,Deandre Ayton,Suns,PHX,12632950
19,1628962,Udoka Azubuike,Jazz,UTA,2075880
20,1628963,Marvin Bagley III,Pistons,DET,11312114
21,1630163,LaMelo Ball,Hornets,CHA,8231760
22,1628366,Lonzo Ball,Bulls,CHI,18604651
23,1628964,Mo Bamba,Magic,ORL,7568742
24,1630217,Desmond Bane,Grizzlies,MEM,2033160
25,1630625,Dalano Banton,Raptors,TOR,925258
26,203084,Harrison Barnes,Kings,SAC,20284091
27,1630567,Scottie Barnes,Raptors,TOR,7280520
28,1629628,RJ Barrett,Knicks,NYK,8623920
29,203115,Will Barton,Nuggets,DEN,15384615
30,1629646,Charles Bassey,76ers,PHI,925258
31,1628966,Keita Bates-Diop,Spurs,SAS,1729217
32,201587,Nicolas Batum,Clippers,LAC,12213507
33,203145,Kent Bazemore,Lakers,LAL,2401537
34,1629647,Darius Bazley,Thunder,OKC,2513040
35,203078,Bradley Beal,Wizards,WAS,34502130
36,1627736,Malik Beasley,Timberwolves,MIN,14391964
37,202722,Davis Bertans,Mavericks,DAL,16000000
38,201976,Patrick Beverley,Timberwolves,MIN,14320988
39,1630180,Saddiq Bey,Pistons,DET,2824320
40,203920,Khem Birch,Raptors,TOR,6350000
41,1629048,Goga Bitadze,Pacers,IND,3098400
42,202687,Bismack Biyombo,Suns,PHX,1366392
43,202357,Nemanja Bjelica,Warriors,GSW,2089448
44,202339,Eric Bledsoe,Trail Blazers,POR,18125000
45,1629833,Keljin Blevins,Trail Blazers,POR,0
46,203992,Bogdan Bogdanovic,Hawks,ATL,18000000
47,202711,Bojan Bogdanovic,Jazz,UTA,18700000
48,1629626,Bol Bol,Magic,ORL,2161152
49,1630195,Leandro Bolmaro,Timberwolves,MIN,2353320
50,1629067,Isaac Bonga,Raptors,TOR,1729217
51,1626164,Devin Booker,Suns,PHX,31610000
52,1630527,Brandon Boston Jr.,Clippers,LAC,925258
53,1628449,Chris Boucher,Raptors,TOR,7009615
54,1630547,James Bouknight,Hornets,CHA,4154400
55,202340,Avery Bradley,Lakers,LAL,2641691
56,1628396,Tony Bradley,Bulls,CHI,1789256
57,1629649,Ignas Brazdeikis,Magic,ORL,0
58,1628969,Mikal Bridges,Suns,PHX,5557725
59,1628970,Miles Bridges,Hornets,CHA,5421493
60,1629052,Oshae Brissett,Pacers,IND,1701593
61,1627763,Malcolm Brogdon,Pacers,IND,21700000
62,1629717,Armoni Brooks,Raptors,TOR,1625991
63,1628415,Dillon Brooks,Grizzlies,MEM,12200000
64,1628971,Bruce Brown,Nets,BKN,4736102
65,1627759,Jaylen Brown,Celtics,BOS,24830357
66,1629650,Moses Brown,Cavaliers,CLE,1720779
67,1628425,Sterling Brown,Mavericks,DAL,3000000
68,1630535,Greg Brown III,Trail Blazers,POR,925258
69,1629718,Charlie Brown Jr.,76ers,PHI,0
70,1630602,Chaundee Brown Jr.,Hawks,ATL,0
71,1628972,Troy Brown Jr.,Bulls,CHI,5170564
72,1628973,Jalen Brunson,Mavericks,DAL,1802057
73,1628418,Thomas Bryant,Wizards,WAS,8730159
74,203493,Reggie Bullock,Mavericks,DAL,9536000
75,203504,Trey Burke,Mavericks,DAL,3333333
76,202692,Alec Burks,Knicks,NYK,9536000
77,1630215,Jared Butler,Jazz,UTA,925258
78,202710,Jimmy Butler,Heat,MIA,36016200
79,1629719,Devontae Cacok,Spurs,SAS,364533
80,203484,Kentavious Caldwell-Pope,Wizards,WAS,13038862
81,1630267,Facundo Campazzo,Nuggets,DEN,3804150
82,1628427,Vlatko Cancar,Nuggets,DEN,1782621
83,1629962,Devin Cannady,Magic,ORL,100000
84,203991,Clint Capela,Hawks,ATL,17103448
85,1630176,Vernon Carey Jr.,Wizards,WAS,1517981
86,1628975,Jevon Carter,Bucks,MIL,4107149
87,1628976,Wendell Carter Jr.,Magic,ORL,6920027
88,1627936,Alex Caruso,Bulls,CHI,8604651
89,1630551,Justin Champagnie,Raptors,TOR,0
90,1629185,Chris Chiozza,Warriors,GSW,0
91,1627737,Marquese Chriss,Mavericks,DAL,958529
92,1630528,Josh Christopher,Rockets,HOU,2259240
93,1629109,Gary Clark,Pelicans,NOP,377645
94,1629634,Brandon Clarke,Grizzlies,MEM,2726880
95,203903,Jordan Clarkson,Jazz,UTA,12420000
96,1629651,Nic Claxton,Nets,BKN,1782621
97,1629599,Amir Coffey,Clippers,LAC,153488
98,1628381,John Collins,Hawks,ATL,23000000
99,1628380,Zach Collins,Spurs,SAS,6984127
100,201144,Mike Conley,Jazz,UTA,21000000
101,1626192,Pat Connaughton,Bucks,MIL,5333333
102,1629076,Tyler Cook,Bulls,CHI,0
103,1630536,Sharife Cooper,Hawks,ATL,0
104,202326,DeMarcus Cousins,Nuggets,DEN,1290481
105,203496,Robert Covington,Clippers,LAC,12975471
106,1628470,Torrey Craig,Suns,PHX,4878049
107,203109,Jae Crowder,Suns,PHX,9720900
108,1629633,Jarrett Culver,Grizzlies,MEM,6395160
109,1630595,Cade Cunningham,Pistons,DET,10050120
110,203552,Seth Curry,Nets,BKN,8186047
111,201939,Stephen Curry,Warriors,GSW,45780966
112,203076,Anthony Davis,Lakers,LAL,35361360
113,202334,Ed Davis,Cavaliers,CLE,2641691
114,1629056,Terence Davis,Kings,SAC,4000000
115,201942,DeMar DeRozan,Bulls,CHI,26000000
116,203473,Dewayne Dedmon,Heat,MIA,5256308
117,1628978,Donte DiVincenzo,Kings,SAC,4675830
118,1628977,Hamidou Diallo,Pistons,DET,5200000
119,203476,Gorgui Dieng,Hawks,ATL,4000000
120,203915,Spencer Dinwiddie,Mavericks,DAL,17142857
121,1629029,Luka Doncic,Mavericks,DAL,10174391
122,1629652,Luguentz Dort,Thunder,OKC,1782621
123,1630245,Ayo Dosunmu,Bulls,CHI,925258
124,201609,Goran Dragic,Nets,BKN,20168742
125,203083,Andre Drummond,Nets,BKN,2401537
126,1630537,Chris Duarte,Pacers,IND,3749520
127,1630561,David Duke Jr.,Nets,BKN,0
128,201142,Kevin Durant,Nets,BKN,40918900
129,1630162,Anthony Edwards,Timberwolves,MIN,10245480
130,1629035,Carsen Edwards,Pistons,DET,76744
131,1630556,Kessler Edwards,Nets,BKN,5318
132,1629604,CJ Elleby,Trail Blazers,POR,1517981
133,201961,Wayne Ellington,Lakers,LAL,2641691
134,203954,Joel Embiid,76ers,PHI,31579390
135,202324,Derrick Favors,Thunder,OKC,9720900
136,1628981,Bruno Fernando,Rockets,HOU,1782621
137,1627827,Dorian Finney-Smith,Mavericks,DAL,4000000
138,1630238,Malik Fitts,Celtics,BOS,231062
139,1630201,Malachi Flynn,Raptors,TOR,2048040
140,1627854,Bryn Forbes,Nuggets,DEN,0
141,1630235,Trent Forrest,Jazz,UTA,8558
142,203095,Evan Fournier,Knicks,NYK,18139535
143,1628368,De'Aaron Fox,Kings,SAC,28103550
144,1628982,Melvin Frazier Jr.,Thunder,OKC,0
145,1628365,Markelle Fultz,Magic,ORL,16500000
146,1629117,Wenyen Gabriel,Lakers,LAL,29814
147,1629655,Daniel Gafford,Wizards,WAS,1782621
148,201568,Danilo Gallinari,Hawks,ATL,20475000
149,1629636,Darius Garland,Cavaliers,CLE,7040880
150,1630586,Usman Garuba,Rockets,HOU,2353320
151,1630568,Luka Garza,Pistons,DET,925258
152,200752,Rudy Gay,Jazz,UTA,5890000
153,202331,Paul George,Clippers,LAC,39344970
154,201959,Taj Gibson,Knicks,NYK,4910000
155,1630581,Josh Giddey,Thunder,OKC,5988000
156,1628983,Shai Gilgeous-Alexander,Thunder,OKC,5495532
157,1630264,Anthony Gill,Wizards,WAS,1517981
158,203497,Rudy Gobert,Jazz,UTA,35344828
159,1629164,Brandon Goodwin,Cavaliers,CLE,0
160,203932,Aaron Gordon,Nuggets,DEN,16409091
161,201569,Eric Gordon,Rockets,HOU,18218818
162,1628984,Devonte' Graham,Pelicans,NOP,11000000
163,203924,Jerami Grant,Pistons,DET,20000000
164,201980,Danny Green,76ers,PHI,10000000
165,203110,Draymond Green,Warriors,GSW,24026712
166,203210,JaMychal Green,Nuggets,DEN,8292683
167,1630224,Jalen Green,Rockets,HOU,8992200
168,1629750,Javonte Green,Bulls,CHI,1669178
169,201145,Jeff Green,Nuggets,DEN,4500000
170,1630182,Josh Green,Mavericks,DAL,2957520
171,201933,Blake Griffin,Nets,BKN,32405817
172,1629656,Quentin Grimes,Knicks,NYK,2168760
173,1629060,Rui Hachimura,Wizards,WAS,4916160
174,1630169,Tyrese Haliburton,Pacers,IND,4023600
175,1630181,R.J. Hampton,Magic,ORL,2303040
176,203501,Tim Hardaway Jr.,Mavericks,DAL,21306816
177,201935,James Harden,76ers,PHI,43848000
178,203090,Maurice Harkless,Kings,SAC,4347600
179,1629607,Jared Harper,Pelicans,NOP,0
180,1626149,Montrezl Harrell,Hornets,CHA,9720900
181,203914,Gary Harris,Magic,ORL,20482143
182,203925,Joe Harris,Nets,BKN,17357143
183,202699,Tobias Harris,76ers,PHI,36000000
184,1628404,Josh Hart,Trail Blazers,POR,12000000
185,1628392,Isaiah Hartenstein,Clippers,LAC,3430810
186,2617,Udonis Haslem,Heat,MIA,2641691
187,1630573,Sam Hauser,Celtics,BOS,313737
188,1629637,Jaxson Hayes,Pelicans,NOP,5348280
189,1630165,Killian Hayes,Pistons,DET,5572680
190,202330,Gordon Hayward,Hornets,CHA,29900000
191,1627823,Juancho Hernangomez,Jazz,UTA,6175440
192,1626195,Willy Hernangomez,Pelicans,NOP,2327220
193,1629639,Tyler Herro,Heat,MIA,4004280
194,1627741,Buddy Hield,Pacers,IND,22477273
195,1629312,Haywood Highsmith,Heat,MIA,290967
196,201588,George Hill,Bucks,MIL,4000000
197,1630792,Malcolm Hill,Bulls,CHI,0
198,1630207,Nate Hinton,Pacers,IND,0
199,1628988,Aaron Holiday,Suns,PHX,3980551
200,201950,Jrue Holiday,Bucks,MIL,30133333
201,203200,Justin Holiday,Kings,SAC,6006420
202,1626158,Richaun Holmes,Kings,SAC,10384500
203,203918,Rodney Hood,Clippers,LAC,2239544
204,201143,Al Horford,Celtics,BOS,27000000
205,1629659,Talen Horton-Tucker,Lakers,LAL,9500000
206,1627863,Danuel House Jr.,Jazz,UTA,2045094
207,2730,Dwight Howard,Lakers,LAL,2641691
208,1630210,Markus Howard,Nuggets,DEN,0
209,1628989,Kevin Huerter,Hawks,ATL,4253357
210,1630190,Elijah Hughes,Trail Blazers,POR,1517981
211,1630624,Feron Hunt,Knicks,NYK,0
212,1629631,De'Andre Hunter,Hawks,ATL,7775400
213,1630538,Bones Hyland,Nuggets,DEN,2096880
214,201586,Serge Ibaka,Bucks,MIL,9742000
215,2738,Andre Iguodala,Warriors,GSW,2641691
216,204060,Joe Ingles,Trail Blazers,POR,14000000
217,1627742,Brandon Ingram,Pelicans,NOP,29467800
218,202681,Kyrie Irving,Nets,BKN,34916200
219,1628371,Jonathan Isaac,Magic,ORL,17400000
220,1628402,Frank Jackson,Pistons,DET,3000000
221,1630543,Isaiah Jackson,Pacers,IND,2451120
222,1628367,Josh Jackson,Kings,SAC,5005350
223,202704,Reggie Jackson,Clippers,LAC,10384500
224,1628991,Jaren Jackson Jr.,Grizzlies,MEM,9180560
225,2544,LeBron James,Lakers,LAL,41180544
226,1629660,Ty Jerome,Thunder,OKC,2412840
227,1630198,Isaiah Joe,76ers,PHI,1517981
228,1629661,Cameron Johnson,Suns,PHX,4437000
229,1630525,David Johnson,Raptors,TOR,0
230,1630552,Jalen Johnson,Hawks,ATL,2659560
231,1629640,Keldon Johnson,Spurs,SAS,2145720
232,1630553,Keon Johnson,Trail Blazers,POR,2553120
233,1626169,Stanley Johnson,Lakers,LAL,888616
234,203999,Nikola Jokic,Nuggets,DEN,30510423
235,1627745,Damian Jones,Kings,SAC,1977011
236,1630529,Herbert Jones,Pelicans,NOP,1700000
237,1630539,Kai Jones,Hornets,CHA,2770560
238,1630222,Mason Jones,Lakers,LAL,0
239,1630200,Tre Jones,Spurs,SAS,1517981
240,1626145,Tyus Jones,Grizzlies,MEM,7522200
241,1627884,Derrick Jones Jr.,Bulls,CHI,9720900
242,201599,DeAndre Jordan,76ers,PHI,11109327
243,202709,Cory Joseph,Pistons,DET,7310000
244,1628379,Luke Kennard,Clippers,LAC,12727273
245,1630296,Braxton Key,Pistons,DET,0
246,1630557,Corey Kispert,Wizards,WAS,3383640
247,1628467,Maxi Kleber,Mavericks,DAL,8750000
248,1630233,Nathan Knight,Timberwolves,MIN,0
249,1628995,Kevin Knox II,Hawks,ATL,0
250,1629723,John Konchar,Grizzlies,MEM,2197674
251,1627788,Furkan Korkmaz,76ers,PHI,4629630
252,1628436,Luke Kornet,Celtics,BOS,606702
253,1630249,Vit Krejci,Thunder,OKC,925258
254,1629083,Arnoldas Kulboka,Hornets,CHA,0
255,1630228,Jonathan Kuminga,Warriors,GSW,5466360
256,1628398,Kyle Kuzma,Wizards,WAS,13000000
257,203897,Zach LaVine,Bulls,CHI,19500000
258,1630237,Anthony Lamb,Rockets,HOU,0
259,203087,Jeremy Lamb,Kings,SAC,10500000
260,1629111,Jock Landale,Spurs,SAS,925258
261,1629641,Romeo Langford,Spurs,SAS,3804360
262,1627774,Jake Layman,Timberwolves,MIN,3940184
263,1627747,Caris LeVert,Cavaliers,CLE,17500000
264,1627814,Damion Lee,Warriors,GSW,1910860
265,1630240,Saben Lee,Pistons,DET,1489065
266,203458,Alex Len,Kings,SAC,3731707
267,202695,Kawhi Leonard,Clippers,LAC,39344900
268,1630575,Scottie Lewis,Hornets,CHA,0
269,1630184,Kira Lewis Jr.,Pelicans,NOP,3822240
270,203081,Damian Lillard,Trail Blazers,POR,39344900
271,1629642,Nassir Little,Trail Blazers,POR,2316240
272,1630587,Isaiah Livers,Pistons,DET,1057260
273,1626172,Kevon Looney,Warriors,GSW,5178572
274,201572,Brook Lopez,Bucks,MIL,13302325
275,201577,Robin Lopez,Magic,ORL,5000000
276,1629712,Didi Louzada,Trail Blazers,POR,1786878
277,201567,Kevin Love,Cavaliers,CLE,31300000
278,200768,Kyle Lowry,Heat,MIA,26984128
279,1630994,Gabriel Lundberg,Suns,PHX,0
280,1627789,Timothe Luwawu-Cabarrot,Hawks,ATL,1939350
281,1626168,Trey Lyles,Kings,SAC,2500000
282,1630177,Theo Maledon,Thunder,OKC,2000000
283,1630572,Sandro Mamukelashvili,Bucks,MIL,0
284,1629611,Terance Mann,Clippers,LAC,1782621
285,1630544,Tre Mann,Thunder,OKC,2901240
286,1626246,Boban Marjanovic,Mavericks,DAL,3500000
287,1628374,Lauri Markkanen,Cavaliers,CLE,15690909
288,1630230,Naji Marshall,Pelicans,NOP,1517981
289,1628997,Caleb Martin,Heat,MIA,527614
290,1628998,Cody Martin,Hornets,CHA,1782621
291,1630231,Kenyon Martin Jr.,Rockets,HOU,1517981
292,1629726,Garrison Mathews,Rockets,HOU,1093598
293,202083,Wesley Matthews,Bucks,MIL,1958501
294,1630178,Tyrese Maxey,76ers,PHI,2602920
295,1630219,Skylar Mays,Hawks,ATL,34231
296,1630540,Miles McBride,Knicks,NYK,925258
297,1630644,Mac McClung,Lakers,LAL,0
298,203468,CJ McCollum,Pelicans,NOP,30864198
299,204456,T.J. McConnell,Pacers,IND,7500000
300,1630183,Jaden McDaniels,Timberwolves,MIN,2063280
301,1629667,Jalen McDaniels,Hornets,CHA,1782621
