PERSON_ID,DISPLAY_FIRST_LAST,TEAM_NAME,POSITION,HEIGHT,WEIGHT,COUNTRY,BIRTHDATE,SEASON_EXP,DRAFT_NUMBER,GP,MIN,PTS,REB,AST,STL,BLK,GAME_DATE,SALARY
1630173,Precious Achiuwa,Raptors,Forward,6-8,225,Nigeria,1999-09-19T00:00:00,1,20,134,18.4,7.2,5.1,0.8,0.4,0.5,APR 18 2022 07:30 PM,2711280
203500,Steven Adams,Grizzlies,Center,6-11,265,New Zealand,1993-07-20T00:00:00,8,12,664,17811.0,6157.0,5303.0,982.0,588.0,629.0,APR 19 2022 08:30 PM,17073171
1628389,Bam Adebayo,Heat,Center-Forward,6-9,255,USA,1997-07-18T00:00:00,4,14,343,9666.0,4617.0,2850.0,1189.0,340.0,309.0,APR 19 2022 07:30 PM,28103550
1630583,Santi Aldama,Grizzlies,Forward-Center,6-11,215,Spain,2001-01-10T00:00:00,0,30,32,360.0,132.0,87.0,21.0,6.0,10.0,APR 19 2022 08:30 PM,1994520
200746,LaMarcus Aldridge,Nets,Center-Forward,6-11,250,USA,1985-07-19T00:00:00,15,2,1076,36242.0,20558.0,8736.0,2076.0,758.0,1187.0,APR 20 2022 07:00 PM,2641691
1629638,Nickeil Alexander-Walker,Jazz,Guard,6-5,205,Canada,1998-09-02T00:00:00,2,17,158,3064.0,1467.0,415.0,347.0,110.0,53.0,APR 18 2022 08:30 PM,3261480
1628960,Grayson Allen,Bucks,Guard,6-4,198,USA,1995-10-08T00:00:00,3,21,192,4199.0,1806.0,490.0,285.0,108.0,34.0,APR 20 2022 09:30 PM,4054695
1628386,Jarrett Allen,Cavaliers,Center,6-10,243,USA,1998-04-21T00:00:00,4,22,341,9062.0,3945.0,2964.0,467.0,187.0,465.0,Empty,20000000
1630631,Jose Alvarado,Pelicans,Guard,6-0,179,USA,1998-04-12T00:00:00,0,Undrafted,54,834.0,330.0,100.0,152.0,71.0,7.0,APR 19 2022 10:00 PM,1500000
203937,Kyle Anderson,Grizzlies,Forward-Guard,6-9,230,USA,1993-09-20T00:00:00,7,30,505,10584.0,3366.0,2220.0,1167.0,510.0,298.0,APR 19 2022 08:30 PM,9937150
203507,Giannis Antetokounmpo,Bucks,Forward,6-11,242,Greece,1994-12-06T00:00:00,8,15,656,21354.0,14321.0,6149.0,3020.0,764.0,856.0,APR 20 2022 09:30 PM,39344970
203648,Thanasis Antetokounmpo,Bucks,Forward,6-6,219,Greece,1992-07-18T00:00:00,3,51,127,1159.0,398.0,250.0,83.0,45.0,24.0,APR 20 2022 09:30 PM,1729217
2546,Carmelo Anthony,Lakers,Forward,6-7,238,USA,1984-05-29T00:00:00,18,3,1260,43514.0,28289.0,7808.0,3422.0,1223.0,644.0,Empty,2641691
1630175,Cole Anthony,Magic,Guard,6-3,185,USA,2000-05-15T00:00:00,1,15,112,3332.0,1667.0,569.0,561.0,76.0,35.0,Empty,3449400
1628384,OG Anunoby,Raptors,Forward,6-7,232,United Kingdom,1997-07-17T00:00:00,4,23,301,8061.0,3144.0,1246.0,429.0,331.0,138.0,APR 18 2022 07:30 PM,16071429
1627853,Ryan Arcidiacono,Knicks,Guard,6-3,195,USA,1994-03-26T00:00:00,4,Undrafted,217,3722.0,1005.0,429.0,460.0,115.0,7.0,Empty,586136
201571,D.J. Augustin,Lakers,Guard,5-11,183,USA,1987-11-10T00:00:00,13,9,976,22852.0,9259.0,1805.0,3761.0,567.0,32.0,Empty,7622467
1630166,Deni Avdija,Wizards,Forward,6-9,210,Israel,2001-01-03T00:00:00,1,9,136,3241.0,1027.0,687.0,230.0,91.0,59.0,Empty,4692840
1629028,Deandre Ayton,Suns,Center,6-11,250,Bahamas,1998-07-23T00:00:00,3,1,236,7246.0,3843.0,2485.0,380.0,168.0,246.0,APR 19 2022 10:00 PM,12632950
1628962,Udoka Azubuike,Jazz,Center-Forward,7-0,270,Nigeria,1999-09-17T00:00:00,1,27,32,252.0,96.0,84.0,0.0,2.0,15.0,APR 18 2022 08:30 PM,2075880
1628963,Marvin Bagley III,Pistons,Forward,6-11,235,USA,1999-03-14T00:00:00,3,2,166,4159.0,2256.0,1224.0,151.0,82.0,110.0,Empty,11312114
1630163,LaMelo Ball,Hornets,Guard,6-7,180,USA,2001-08-22T00:00:00,1,3,126,3891.0,2311.0,803.0,884.0,200.0,48.0,Empty,8231760
1628366,Lonzo Ball,Bulls,Guard,6-6,190,USA,1997-10-27T00:00:00,4,2,252,8187.0,2995.0,1447.0,1563.0,391.0,162.0,APR 20 2022 09:30 PM,18604651
1628964,Mo Bamba,Magic,Center,7-0,231,USA,1998-05-12T00:00:00,3,6,226,4193.0,1747.0,1372.0,201.0,88.0,326.0,Empty,7568742
1630217,Desmond Bane,Grizzlies,Guard,6-5,215,USA,1998-06-25T00:00:00,1,30,144,3785.0,2009.0,544.0,326.0,133.0,45.0,APR 19 2022 08:30 PM,2033160
1630625,Dalano Banton,Raptors,Forward,6-7,204,Canada,1999-11-07T00:00:00,0,46,64,696.0,205.0,124.0,99.0,28.0,10.0,APR 18 2022 07:30 PM,925258
203084,Harrison Barnes,Kings,Forward,6-8,225,USA,1992-05-30T00:00:00,9,7,747,23763.0,10566.0,3817.0,1376.0,522.0,142.0,Empty,20284091
1630567,Scottie Barnes,Raptors,Forward,6-7,225,USA,2001-08-01T00:00:00,0,4,74,2617.0,1134.0,557.0,256.0,80.0,55.0,APR 18 2022 07:30 PM,7280520
1629628,RJ Barrett,Knicks,Forward-Guard,6-6,214,Canada,2000-06-14T00:00:00,2,3,198,6633.0,3469.0,1101.0,568.0,151.0,53.0,Empty,8623920
203115,Will Barton,Nuggets,Guard,6-5,181,USA,1991-01-06T00:00:00,9,40,623,16123.0,7246.0,2655.0,1705.0,476.0,259.0,APR 18 2022 10:00 PM,15384615
1629646,Charles Bassey,76ers,Center-Forward,6-9,230,Nigeria,2000-10-28T00:00:00,0,53,23,168.0,69.0,62.0,7.0,5.0,17.0,APR 18 2022 07:30 PM,925258
1628966,Keita Bates-Diop,Spurs,Forward,6-8,229,USA,1996-01-23T00:00:00,3,48,163,2449.0,853.0,490.0,100.0,75.0,57.0,Empty,1729217
201587,Nicolas Batum,Clippers,Guard-Forward,6-8,230,France,1988-12-14T00:00:00,13,25,915,28029.0,10149.0,4707.0,3215.0,874.0,579.0,Empty,12213507
203145,Kent Bazemore,Lakers,Guard-Forward,6-4,195,USA,1989-07-01T00:00:00,9,Undrafted,657,13546.0,5414.0,2072.0,1154.0,658.0,309.0,Empty,2401537
1629647,Darius Bazley,Thunder,Forward,6-8,208,USA,2000-06-12T00:00:00,2,23,185,4768.0,1841.0,1078.0,237.0,110.0,136.0,Empty,2513040
203078,Bradley Beal,Wizards,Guard,6-4,207,USA,1993-06-28T00:00:00,9,3,645,22418.0,14231.0,2641.0,2701.0,727.0,251.0,Empty,34502130
1627736,Malik Beasley,Timberwolves,Guard,6-4,187,USA,1996-11-26T00:00:00,5,19,336,7025.0,3488.0,825.0,418.0,190.0,44.0,APR 19 2022 08:30 PM,14391964
202722,Davis Bertans,Mavericks,Forward,6-10,225,Latvia,1992-11-12T00:00:00,5,42,387,7379.0,3165.0,1045.0,392.0,168.0,147.0,APR 18 2022 08:30 PM,16000000
201976,Patrick Beverley,Timberwolves,Guard,6-1,180,USA,1988-07-12T00:00:00,9,42,526,14410.0,4654.0,2243.0,1839.0,602.0,271.0,APR 19 2022 08:30 PM,14320988
1630180,Saddiq Bey,Pistons,Forward,6-7,215,USA,1999-04-09T00:00:00,1,19,152,4613.0,2178.0,759.0,328.0,125.0,30.0,Empty,2824320
203920,Khem Birch,Raptors,Center,6-9,233,Canada,1992-09-28T00:00:00,4,Undrafted,262,4664.0,1359.0,1216.0,267.0,131.0,149.0,APR 18 2022 07:30 PM,6350000
1629048,Goga Bitadze,Pacers,Center-Forward,7-0,250,Georgia,1999-07-20T00:00:00,2,18,149,1762.0,752.0,433.0,115.0,40.0,139.0,Empty,3098400
202687,Bismack Biyombo,Suns,Center,6-8,255,DRC,1992-08-28T00:00:00,10,7,738,14720.0,3814.0,4482.0,442.0,188.0,952.0,APR 19 2022 10:00 PM,1366392
202357,Nemanja Bjelica,Warriors,Forward,6-9,234,Serbia,1988-05-09T00:00:00,6,35,449,9172.0,3412.0,2051.0,825.0,288.0,184.0,APR 18 2022 10:00 PM,2089448
202339,Eric Bledsoe,Trail Blazers,Guard,6-1,214,USA,1989-12-09T00:00:00,11,18,756,21020.0,10348.0,2937.0,3545.0,1028.0,344.0,Empty,18125000
1629833,Keljin Blevins,Trail Blazers,Guard,6-4,200,USA,1995-11-24T00:00:00,1,,48,424.0,107.0,55.0,23.0,15.0,1.0,Empty,0
203992,Bogdan Bogdanovic,Hawks,Guard,6-6,225,Serbia,1992-08-18T00:00:00,4,27,316,9042.0,4501.0,1083.0,1073.0,325.0,73.0,APR 19 2022 07:30 PM,18000000
